timestamp,open,high,low,close,volume
# Day 1 Data
2025-09-12 09:15:00,23400,23420,23390,23410,100000
2025-09-12 09:20:00,23410,23410,23380,23385,100000
2025-09-12 09:25:00,23385,23395,23380,23390,100000
2025-09-12 09:30:00,23390,23400,23385,23395,100000
2025-09-12 09:35:00,23395,23480,23395,23480,200000
2025-09-12 09:40:00,23480,23500,23470,23495,150000
2025-09-12 09:45:00,23495,23499,23485,23490,110000
2025-09-12 09:50:00,23490,23495,23475,23480,100000
2025-09-12 09:55:00,23480,23485,23465,23470,95000
2025-09-12 10:00:00,23470,23470,23450,23455,130000
2025-09-12 10:05:00,23455,23460,23440,23445,140000
2025-09-12 10:10:00,23445,23450,23430,23435,160000
2025-09-12 10:15:00,23435,23435,23425,23425,100000
# Day 2 Data
2025-09-13 09:15:00,23500,23520,23490,23510,100000
2025-09-13 09:20:00,23510,23530,23505,23525,80000
2025-09-13 09:25:00,23525,23540,23520,23535,75000
2025-09-13 09:30:00,23535,23535,23510,23515,90000
2025-09-13 09:35:00,23515,23520,23500,23505,120000
